trial_number,initial_temp,cooling_rate,iterations_per_temp,construction_iterations,instance,seed,obj_val,gap_pct
9,27.26140593904213,0.9716606546746516,106,22,D,22,1006.19,6.588
9,27.26140593904213,0.9716606546746516,106,22,D,33,1024.26,8.502
9,27.26140593904213,0.9716606546746516,106,22,G,11,3390.167,6.676
9,27.26140593904213,0.9716606546746516,106,22,G,22,3449.545,8.545
9,27.26140593904213,0.9716606546746516,106,22,G,33,3387.099,6.58
9,27.26140593904213,0.9716606546746516,106,22,I,11,735.602,8.177
9,27.26140593904213,0.9716606546746516,106,22,I,22,733.609,7.884
9,27.26140593904213,0.9716606546746516,106,22,I,33,735.056,8.096
9,27.26140593904213,0.9716606546746516,106,22,K,11,905.615,5.796
9,27.26140593904213,0.9716606546746516,106,22,K,22,919.92,7.467
9,27.26140593904213,0.9716606546746516,106,22,K,33,924.668,8.022
10,62.25829450318795,0.95285772269537,119,51,D,11,1015.491,7.573
10,62.25829450318795,0.95285772269537,119,51,D,22,992.334,5.12
10,62.25829450318795,0.95285772269537,119,51,D,33,989.073,4.775
10,62.25829450318795,0.95285772269537,119,51,G,11,3410.569,7.318
10,62.25829450318795,0.95285772269537,119,51,G,22,3357.659,5.653
10,62.25829450318795,0.95285772269537,119,51,G,33,3505.189,10.295
10,62.25829450318795,0.95285772269537,119,51,I,11,735.056,8.096
10,62.25829450318795,0.95285772269537,119,51,I,22,735.056,8.096
10,62.25829450318795,0.95285772269537,119,51,I,33,735.056,8.096
10,62.25829450318795,0.95285772269537,119,51,K,11,937.304,9.498
10,62.25829450318795,0.95285772269537,119,51,K,22,919.92,7.467
10,62.25829450318795,0.95285772269537,119,51,K,33,926.23,8.204
11,45.02894469308982,0.9825723510449526,57,60,D,11,1006.19,6.588
11,45.02894469308982,0.9825723510449526,57,60,D,22,992.334,5.12
11,45.02894469308982,0.9825723510449526,57,60,D,33,989.073,4.775
11,45.02894469308982,0.9825723510449526,57,60,G,11,3521.821,10.819
11,45.02894469308982,0.9825723510449526,57,60,G,22,3516.675,10.657
11,45.02894469308982,0.9825723510449526,57,60,G,33,3529.572,11.063
11,45.02894469308982,0.9825723510449526,57,60,I,11,728.935,7.196
11,45.02894469308982,0.9825723510449526,57,60,I,22,735.056,8.096
11,45.02894469308982,0.9825723510449526,57,60,I,33,735.056,8.096
11,45.02894469308982,0.9825723510449526,57,60,K,11,937.304,9.498
11,45.02894469308982,0.9825723510449526,57,60,K,22,919.92,7.467
11,45.02894469308982,0.9825723510449526,57,60,K,33,926.23,8.204
12,195.2343655084004,0.9545224058831867,45,31,D,11,1006.19,6.588
12,195.2343655084004,0.9545224058831867,45,31,D,22,992.392,5.126
12,195.2343655084004,0.9545224058831867,45,31,D,33,1024.26,8.502
12,195.2343655084004,0.9545224058831867,45,31,G,11,3390.167,6.676
12,195.2343655084004,0.9545224058831867,45,31,G,22,3421.086,7.649
12,195.2343655084004,0.9545224058831867,45,31,G,33,3387.099,6.58
12,195.2343655084004,0.9545224058831867,45,31,I,11,729.586,7.292
12,195.2343655084004,0.9545224058831867,45,31,I,22,733.609,7.884
12,195.2343655084004,0.9545224058831867,45,31,I,33,735.056,8.096
12,195.2343655084004,0.9545224058831867,45,31,K,11,910.986,6.424
12,195.2343655084004,0.9545224058831867,45,31,K,22,919.92,7.467
12,195.2343655084004,0.9545224058831867,45,31,K,33,925.724,8.145
13,429.41555771427426,0.9322134487623553,148,52,D,11,1006.19,6.588
13,429.41555771427426,0.9322134487623553,148,52,D,22,992.392,5.126
13,429.41555771427426,0.9322134487623553,148,52,D,33,989.073,4.775
13,429.41555771427426,0.9322134487623553,148,52,G,11,3410.569,7.318
13,429.41555771427426,0.9322134487623553,148,52,G,22,3357.659,5.653
13,429.41555771427426,0.9322134487623553,148,52,G,33,3505.189,10.295
13,429.41555771427426,0.9322134487623553,148,52,I,11,735.056,8.096
13,429.41555771427426,0.9322134487623553,148,52,I,22,735.056,8.096
13,429.41555771427426,0.9322134487623553,148,52,I,33,735.056,8.096
13,429.41555771427426,0.9322134487623553,148,52,K,11,937.304,9.498
13,429.41555771427426,0.9322134487623553,148,52,K,22,919.92,7.467
13,429.41555771427426,0.9322134487623553,148,52,K,33,926.23,8.204
14,372.567568583686,0.9866044166423399,47,43,D,11,1006.19,6.588
14,372.567568583686,0.9866044166423399,47,43,D,22,992.392,5.126
14,372.567568583686,0.9866044166423399,47,43,D,33,989.073,4.775
14,372.567568583686,0.9866044166423399,47,43,G,11,3391.472,6.717
14,372.567568583686,0.9866044166423399,47,43,G,22,3357.659,5.653
14,372.567568583686,0.9866044166423399,47,43,G,33,3386.043,6.546
14,372.567568583686,0.9866044166423399,47,43,I,11,735.056,8.096
14,372.567568583686,0.9866044166423399,47,43,I,22,733.609,7.884
14,372.567568583686,0.9866044166423399,47,43,I,33,735.056,8.096
14,372.567568583686,0.9866044166423399,47,43,K,11,915.509,6.952
14,372.567568583686,0.9866044166423399,47,43,K,22,919.92,7.467
14,372.567568583686,0.9866044166423399,47,43,K,33,926.23,8.204
15,481.86962588268375,0.9306742347336676,146,45,D,11,1006.19,6.588
15,481.86962588268375,0.9306742347336676,146,45,D,22,992.392,5.126
15,481.86962588268375,0.9306742347336676,146,45,D,33,989.073,4.775
15,481.86962588268375,0.9306742347336676,146,45,G,11,3410.569,7.318
15,481.86962588268375,0.9306742347336676,146,45,G,22,3357.659,5.653
15,481.86962588268375,0.9306742347336676,146,45,G,33,3386.043,6.546
15,481.86962588268375,0.9306742347336676,146,45,I,11,735.056,8.096
15,481.86962588268375,0.9306742347336676,146,45,I,22,733.609,7.884
15,481.86962588268375,0.9306742347336676,146,45,I,33,735.056,8.096
15,481.86962588268375,0.9306742347336676,146,45,K,11,915.509,6.952
15,481.86962588268375,0.9306742347336676,146,45,K,22,919.92,7.467
15,481.86962588268375,0.9306742347336676,146,45,K,33,926.23,8.204
16,21.484659664533567,0.9224893817832707,150,42,D,11,1015.491,7.573
16,21.484659664533567,0.9224893817832707,150,42,D,22,992.392,5.126
16,21.484659664533567,0.9224893817832707,150,42,D,33,989.073,4.775
16,21.484659664533567,0.9224893817832707,150,42,G,11,3391.472,6.717
16,21.484659664533567,0.9224893817832707,150,42,G,22,3357.659,5.653
16,21.484659664533567,0.9224893817832707,150,42,G,33,3386.043,6.546
16,21.484659664533567,0.9224893817832707,150,42,I,11,735.056,8.096
16,21.484659664533567,0.9224893817832707,150,42,I,22,733.609,7.884
16,21.484659664533567,0.9224893817832707,150,42,I,33,735.056,8.096
16,21.484659664533567,0.9224893817832707,150,42,K,11,931.729,8.847
16,21.484659664533567,0.9224893817832707,150,42,K,22,919.92,7.467
