trial_number,perturbation_steps,construction_iterations,instance,seed,obj_val,gap_pct
23,11,64,I,33,735.056,8.096
23,11,64,K,11,955.863,11.666
23,11,64,K,22,959.225,12.059
23,11,64,K,33,954.944,11.559
24,11,65,D,11,1054.127,11.666
24,11,65,D,22,1011.455,7.146
24,11,65,D,33,1021.156,8.173
24,11,65,G,11,3521.821,10.819
24,11,65,G,22,3516.675,10.657
24,11,65,G,33,3529.572,11.063
24,11,65,I,11,731.846,7.624
24,11,65,I,22,746.882,9.836
24,11,65,I,33,735.056,8.096
24,11,65,K,11,955.863,11.666
24,11,65,K,22,959.225,12.059
24,11,65,K,33,954.944,11.559
25,16,98,D,11,992.334,5.12
25,16,98,D,22,1011.86,7.189
25,16,98,D,33,1021.156,8.173
25,16,98,G,11,3521.821,10.819
25,16,98,G,22,3516.675,10.657
25,16,98,G,33,3529.572,11.063
25,16,98,I,11,731.846,7.624
25,16,98,I,22,738.311,8.575
25,16,98,I,33,735.056,8.096
25,16,98,K,11,955.863,11.666
25,16,98,K,22,959.225,12.059
25,16,98,K,33,954.944,11.559
26,16,53,D,11,1010.95,7.092
26,16,53,D,22,1011.455,7.146
26,16,53,D,33,1021.156,8.173
26,16,53,G,11,3521.821,10.819
26,16,53,G,22,3516.675,10.657
26,16,53,G,33,3529.572,11.063
26,16,53,I,11,739.689,8.778
26,16,53,I,22,746.882,9.836
26,16,53,I,33,735.056,8.096
26,16,53,K,11,955.863,11.666
26,16,53,K,22,959.225,12.059
26,16,53,K,33,954.944,11.559
27,18,51,D,11,1010.95,7.092
27,18,51,D,22,1001.693,6.112
27,18,51,D,33,1021.156,8.173
27,18,51,G,11,3521.821,10.819
27,18,51,G,22,3516.675,10.657
27,18,51,G,33,3529.572,11.063
27,18,51,I,11,738.671,8.628
27,18,51,I,22,746.882,9.836
27,18,51,I,33,735.056,8.096
27,18,51,K,11,955.863,11.666
27,18,51,K,22,959.225,12.059
27,18,51,K,33,954.944,11.559
28,17,52,D,11,1006.133,6.582
28,17,52,D,22,1011.455,7.146
28,17,52,D,33,1021.156,8.173
28,17,52,G,11,3521.821,10.819
